iter	MultiClass
0	1.71506658
1	1.529877931
2	1.411655008
3	1.318530951
4	1.224203829
5	1.148382224
6	1.076127404
7	1.0149813
8	0.9592101723
9	0.9133064143
10	0.8771242599
11	0.8304752816
12	0.7935532821
13	0.7634546423
14	0.7367270905
15	0.7129642006
16	0.6892180559
17	0.6649182083
18	0.6412576523
19	0.6204930502
20	0.603633376
21	0.5877403092
22	0.5746663877
23	0.5594246805
24	0.5483088863
25	0.537662372
26	0.5262272908
27	0.5158224135
28	0.5067531497
29	0.496960066
30	0.4903644794
31	0.4813478341
32	0.4738356572
33	0.4669670872
34	0.4614164397
35	0.4562571362
36	0.4501487678
37	0.4455588656
38	0.4409898907
39	0.4346413492
40	0.4297677497
41	0.4249226113
42	0.4214982468
43	0.4162011009
44	0.4129060354
45	0.4092404257
46	0.4027156802
47	0.4000721218
48	0.396288537
49	0.3932696054
50	0.3890191374
51	0.3858097487
52	0.3819587264
53	0.378715728
54	0.3757977876
55	0.3728262637
56	0.3701061526
57	0.3672694232
58	0.3656767517
59	0.3629374427
60	0.3606814468
61	0.3576770077
62	0.355858904
63	0.3538273114
64	0.3522917721
65	0.3500798554
66	0.3485581914
67	0.3464401917
68	0.3442535483
69	0.3426358725
70	0.3403868438
71	0.3387400307
72	0.3349646105
73	0.33338588
74	0.3316819414
75	0.3283391154
76	0.3271158809
77	0.3250236634
78	0.3237999454
79	0.3226347692
80	0.3202446455
81	0.3187957778
82	0.3172999189
83	0.3159063452
84	0.3142365027
85	0.3129031573
86	0.3107659006
87	0.309431946
88	0.3070956704
89	0.3058215756
90	0.304376622
91	0.3033729592
92	0.3026758511
93	0.301335218
94	0.300020536
95	0.2988075229
96	0.2976164623
97	0.2965420666
98	0.2953586092
99	0.2941878543
100	0.2934768353
101	0.2925433252
102	0.2917655893
103	0.2907911059
104	0.2897714277
105	0.2870913185
106	0.2858300688
107	0.2853417051
108	0.2837994551
109	0.2828391748
110	0.2822689052
111	0.2810751875
112	0.2799821602
113	0.2792770404
114	0.2785286823
115	0.277612077
116	0.2768435352
117	0.2753153858
118	0.2740229793
119	0.2726036804
120	0.2715537538
121	0.2707909425
122	0.2697070795
123	0.2688985689
124	0.2672956193
125	0.2654325031
126	0.2645208621
127	0.2638023997
128	0.2631587276
129	0.261970298
130	0.2614748404
131	0.2602414723
132	0.2597638853
133	0.2588400653
134	0.2583948661
135	0.2576447443
136	0.2565285215
137	0.2554195215
138	0.2548560292
139	0.2545168945
140	0.2539150069
141	0.2531498054
142	0.2523582343
143	0.2512935929
144	0.2505466454
145	0.2499374569
146	0.2494423955
147	0.248755136
148	0.2476935496
149	0.2465595076
150	0.2459300212
151	0.245362369
152	0.2447021632
153	0.2442682007
154	0.2435672945
155	0.2429871387
156	0.2423239052
157	0.2416051935
158	0.2409356297
159	0.2403645389
160	0.2395981464
161	0.2387275566
162	0.2377458238
163	0.2368358777
164	0.2361372359
165	0.2358275362
166	0.2350936117
167	0.2345751274
168	0.2339421562
169	0.2333158672
170	0.2323966091
171	0.2317720152
172	0.2313443373
173	0.2307550675
174	0.2303531241
175	0.2298496243
176	0.2294676354
177	0.2289745759
178	0.2284569091
179	0.2280492993
180	0.2274085048
181	0.226928978
182	0.2264469483
183	0.2257711423
184	0.2250059604
185	0.224276014
186	0.2236838817
187	0.2229434721
188	0.2225278004
189	0.2217529979
190	0.2213166826
191	0.2206684298
192	0.2196696466
193	0.2188363811
194	0.2185967053
195	0.2179008597
196	0.2172618194
197	0.2162812243
198	0.2156610963
199	0.2153030762
200	0.2147748686
201	0.2141023143
202	0.2136593632
203	0.2132448373
204	0.2126732902
205	0.2121993512
206	0.2118222763
207	0.2111230222
208	0.2108011041
209	0.2100391554
210	0.209529648
211	0.2089388963
212	0.2083955858
213	0.207861566
214	0.2073715997
215	0.2068053257
216	0.2064594673
217	0.2058925223
218	0.2055716163
219	0.205043027
220	0.2042272817
221	0.2037022464
222	0.2031388737
223	0.2025369999
224	0.2023473143
225	0.2018630892
226	0.2013468288
227	0.2009674393
228	0.2004359293
229	0.1998741262
230	0.199437935
231	0.1989738517
232	0.1986739688
233	0.1981223
234	0.1976130014
235	0.1971329401
236	0.196647469
237	0.1960601999
238	0.1956770818
239	0.1951807481
240	0.1949458403
241	0.194713523
242	0.1942166977
243	0.1937569334
244	0.1933938452
245	0.1929710275
246	0.192533903
247	0.1919776049
248	0.1916712061
249	0.191261971
250	0.1909669209
251	0.1905118792
252	0.1901215653
253	0.1897782763
254	0.1892066643
255	0.1889319631
256	0.1884498643
257	0.1881609251
258	0.1876116597
259	0.187195716
260	0.1866633536
261	0.1860352225
262	0.1853613851
263	0.1848027994
264	0.1842740118
265	0.1839730697
266	0.1835323851
267	0.1829653145
268	0.1823498629
269	0.1817753216
270	0.181532245
271	0.1810875034
272	0.1805562612
273	0.1802898765
274	0.1797696746
275	0.1795570053
276	0.179201549
277	0.1787731421
278	0.1780638988
279	0.1775191778
280	0.1772671479
281	0.1769204013
282	0.1765224428
283	0.1763720035
284	0.1759912661
285	0.1756562436
286	0.1751211662
287	0.1749303439
288	0.1745499547
289	0.1743864082
290	0.1741518345
291	0.1736029258
292	0.1730562647
293	0.1727750135
294	0.1725013947
295	0.1720447414
296	0.1717080932
297	0.1712076606
298	0.1709428342
299	0.1706241078
300	0.1702739394
301	0.1700044221
302	0.1697452539
303	0.1694503114
304	0.1691505822
305	0.1688648488
306	0.1685321013
307	0.1683166235
308	0.1679748642
309	0.1676421313
310	0.1672463246
311	0.1669420979
312	0.1666282868
313	0.1663681157
314	0.1661514376
315	0.165877524
316	0.1655598581
317	0.1653002448
318	0.1650275717
319	0.1648426935
320	0.1646414324
321	0.1643924809
322	0.1642141046
323	0.1639894547
324	0.1635345534
325	0.1630824497
326	0.1626452334
327	0.1623527638
328	0.1620159133
329	0.1618084927
330	0.1614880627
331	0.1611315574
332	0.1608987737
333	0.160570345
334	0.1603094329
335	0.1598131185
336	0.1597075671
337	0.1594498054
338	0.1591058327
339	0.1589124403
340	0.158657638
341	0.1581585278
342	0.1578548388
343	0.1575226308
344	0.1573949995
345	0.1572253183
346	0.1570664464
347	0.1565642526
348	0.1562284219
349	0.1558849168
350	0.1556525761
351	0.1553093661
352	0.1550083479
353	0.1546119273
354	0.1543273939
355	0.1539917812
356	0.1537891797
357	0.1535051639
358	0.153388517
359	0.1531913003
360	0.1529570721
361	0.152596766
362	0.1522719191
363	0.1519985357
364	0.1516738597
365	0.15131253
366	0.1510445254
367	0.1507407374
368	0.1501632693
369	0.1497574502
370	0.1495649488
371	0.1493741277
372	0.1490761252
373	0.1487680148
374	0.1485213724
375	0.1482588045
376	0.1481468501
377	0.1478260499
378	0.1476419575
379	0.1473991303
380	0.1471177872
381	0.1467966079
382	0.1465998912
383	0.1462916401
384	0.1460584613
385	0.1458286752
386	0.1455446098
387	0.1453955212
388	0.1451919213
389	0.1449698925
390	0.144516583
391	0.1441899706
392	0.1439684912
393	0.1435941132
394	0.1434267606
395	0.1433137691
396	0.1431502562
397	0.1426714447
398	0.1424244661
399	0.1421892146
400	0.1417686684
401	0.1414869909
402	0.1413177671
403	0.1411351971
404	0.1408993621
405	0.1407320841
406	0.1406010338
407	0.1404250243
408	0.1401629708
409	0.1398517047
410	0.1396256854
411	0.1393474083
412	0.1392109204
413	0.1389534486
414	0.1387179384
415	0.1384069581
416	0.1382589988
417	0.1379623792
418	0.1376390431
419	0.1375001642
420	0.1373714131
421	0.1372512076
422	0.1369981407
423	0.136756146
424	0.13663755
425	0.1364039911
426	0.1361734364
427	0.1359185605
428	0.1355770949
429	0.1353710658
430	0.1351591428
431	0.1348930279
432	0.1348171536
433	0.1346563614
434	0.1343954972
435	0.1341788135
436	0.1338721496
437	0.1336646692
438	0.1333167807
439	0.1331725873
440	0.1327831794
441	0.1324770677
442	0.1322486966
443	0.1321655622
444	0.1319606055
445	0.1317730119
446	0.1314757773
447	0.1311297076
448	0.1309015692
449	0.1307964356
450	0.1306008874
451	0.1304508382
452	0.1302835472
453	0.1300904898
454	0.1298008748
455	0.1296628191
456	0.1295466987
457	0.1292871106
458	0.1290606702
459	0.1288397586
460	0.1286711804
461	0.1283264648
462	0.1281987498
463	0.1279198271
464	0.1277393053
465	0.1276121479
466	0.1274546296
467	0.1272594257
468	0.1271580618
469	0.1270320551
470	0.1267006233
471	0.1264390384
472	0.1262405621
473	0.1259324165
474	0.1255658125
475	0.1253466521
476	0.1252001584
477	0.1249376681
478	0.1247669551
479	0.124554163
480	0.124421291
481	0.1243039449
482	0.1241386532
483	0.1237115404
484	0.1235143111
485	0.1233458151
486	0.1231577806
487	0.1230270677
488	0.1228313318
489	0.1225812793
490	0.1223361819
491	0.1220600192
492	0.1218761462
493	0.1216750493
494	0.1215264203
495	0.1212628794
496	0.1210211528
497	0.1207996325
498	0.1206061664
499	0.1203456917
500	0.1201238426
501	0.1199853463
502	0.1198107023
503	0.1197022966
504	0.1196283568
505	0.1193020439
506	0.119047705
507	0.1188393009
508	0.1186628925
509	0.1185156811
510	0.118115794
511	0.1178977607
512	0.1176823012
513	0.1174008176
514	0.1170301827
515	0.1169221301
516	0.1166169958
517	0.1164848143
518	0.1163982733
519	0.1162150064
