iter	Passed	Remaining
0	45	45157
1	60	30007
2	114	38120
3	154	38394
4	204	40618
5	248	41168
6	293	41669
7	309	38325
8	325	35852
9	343	33984
10	370	33319
11	403	33190
12	421	32039
13	439	30950
14	470	30881
15	491	30210
16	539	31198
17	564	30815
18	582	30066
19	597	29293
20	613	28622
21	634	28214
22	655	27858
23	672	27337
24	690	26921
25	736	27578
26	752	27103
27	786	27299
28	834	27956
29	857	27713
30	877	27415
31	897	27162
32	914	26802
33	932	26496
34	952	26266
35	970	25976
36	1010	26310
37	1045	26462
38	1064	26235
39	1116	26797
40	1133	26521
41	1152	26284
42	1187	26417
43	1220	26512
44	1237	26262
45	1255	26030
46	1300	26361
47	1339	26557
48	1352	26243
49	1366	25959
50	1387	25812
51	1403	25588
52	1457	26050
53	1473	25821
54	1490	25617
55	1506	25391
56	1519	25137
57	1537	24976
58	1553	24775
59	1574	24664
60	1591	24502
61	1608	24328
62	1624	24160
63	1640	23991
64	1676	24113
65	1688	23889
66	1740	24240
67	1789	24532
68	1836	24782
69	1884	25043
70	1899	24857
71	1930	24888
72	1948	24746
73	1982	24809
74	2014	24850
75	2031	24700
76	2079	24927
77	2101	24845
78	2120	24723
79	2163	24880
80	2180	24739
81	2204	24677
82	2224	24580
83	2282	24887
84	2300	24761
85	2314	24597
86	2332	24475
87	2355	24409
88	2388	24451
89	2405	24324
90	2420	24180
91	2461	24293
92	2480	24189
93	2494	24047
94	2541	24214
95	2587	24368
96	2617	24367
97	2650	24394
98	2667	24276
99	2683	24155
100	2701	24045
101	2720	23949
102	2739	23858
103	2783	23984
104	2832	24139
105	2848	24028
106	2882	24060
107	2900	23952
108	2915	23831
109	2936	23755
110	2986	23915
111	2999	23785
112	3013	23657
113	3027	23530
114	3046	23444
115	3093	23573
116	3113	23494
117	3161	23631
118	3181	23552
119	3227	23664
120	3256	23654
121	3274	23568
122	3292	23475
123	3317	23434
124	3349	23449
125	3363	23328
126	3384	23262
127	3401	23173
128	3424	23123
129	3440	23022
130	3458	22940
131	3471	22826
132	3518	22936
133	3540	22879
134	3556	22786
135	3606	22914
136	3640	22934
137	3655	22831
138	3671	22741
139	3687	22653
140	3710	22605
141	3738	22590
142	3755	22506
143	3768	22403
144	3790	22349
145	3808	22275
146	3827	22208
147	3844	22133
148	3866	22082
149	3888	22035
150	3928	22087
151	3959	22087
152	3975	22006
153	3993	21937
154	4012	21875
155	4034	21828
156	4059	21798
157	4073	21710
158	4093	21654
159	4108	21570
160	4140	21577
161	4162	21529
162	4179	21459
163	4225	21541
164	4263	21575
165	4276	21485
166	4293	21416
167	4311	21352
168	4323	21258
169	4341	21195
170	4358	21131
171	4376	21065
172	4411	21089
173	4474	21241
174	4513	21279
175	4540	21256
176	4557	21191
177	4575	21130
178	4595	21078
179	4628	21084
180	4682	21187
181	4721	21220
182	4748	21200
183	4791	21248
184	4843	21335
185	4891	21406
186	4920	21391
187	4961	21429
188	5003	21469
189	5018	21392
190	5064	21450
191	5084	21398
192	5099	21321
193	5115	21251
194	5127	21168
195	5174	21224
196	5189	21152
197	5206	21089
198	5220	21011
199	5254	21017
200	5278	20983
201	5306	20962
202	5348	20998
203	5365	20934
204	5382	20875
205	5405	20833
206	5451	20884
207	5467	20819
208	5480	20742
209	5493	20667
210	5512	20614
211	5545	20613
212	5564	20559
213	5580	20497
214	5598	20441
215	5642	20478
216	5669	20457
217	5705	20467
218	5721	20405
219	5767	20447
220	5786	20396
221	5806	20350
222	5833	20324
223	5851	20270
224	5865	20203
225	5879	20135
226	5920	20160
227	5934	20095
228	5953	20043
229	5967	19978
230	6009	20006
231	6029	19958
232	6051	19919
233	6071	19875
234	6087	19815
235	6123	19822
236	6156	19820
237	6175	19772
238	6191	19714
239	6235	19744
240	6267	19738
241	6296	19721
242	6335	19736
243	6378	19762
244	6391	19696
245	6408	19643
246	6427	19594
247	6442	19534
248	6460	19484
249	6485	19455
250	6534	19498
251	6573	19513
252	6606	19507
253	6640	19503
254	6677	19507
255	6714	19514
256	6754	19528
257	6772	19478
258	6787	19419
259	6802	19360
260	6819	19308
261	6870	19353
262	6889	19305
263	6935	19335
264	6960	19306
265	6980	19263
266	6996	19207
267	7010	19147
268	7027	19096
269	7046	19052
270	7061	18995
271	7075	18938
272	7120	18961
273	7144	18929
274	7166	18893
275	7182	18840
276	7199	18791
277	7250	18830
278	7276	18804
279	7308	18794
280	7328	18752
281	7390	18817
282	7414	18785
283	7458	18803
284	7474	18750
285	7485	18688
286	7541	18734
287	7563	18698
288	7603	18707
289	7637	18699
290	7656	18654
291	7701	18673
292	7751	18704
293	7799	18729
294	7840	18737
295	7853	18678
296	7883	18660
297	7924	18667
298	7946	18630
299	7990	18644
300	8008	18597
301	8057	18623
302	8074	18572
303	8090	18522
304	8130	18525
305	8150	18484
306	8187	18481
307	8223	18476
308	8239	18425
309	8261	18389
310	8316	18424
311	8360	18436
312	8377	18388
313	8391	18334
314	8409	18286
315	8455	18301
316	8496	18305
317	8513	18259
318	8557	18268
319	8608	18293
320	8656	18311
321	8687	18293
322	8726	18290
323	8777	18312
324	8794	18266
325	8809	18212
326	8823	18160
327	8845	18122
328	8862	18076
329	8881	18032
330	8896	17981
331	8917	17943
332	8933	17894
333	8950	17847
334	8970	17806
335	9001	17788
336	9015	17737
337	9064	17752
338	9082	17708
339	9102	17669
340	9132	17648
341	9152	17608
342	9166	17557
343	9180	17507
344	9198	17463
345	9214	17416
346	9232	17374
347	9249	17329
348	9272	17296
349	9311	17292
350	9344	17277
351	9376	17261
352	9413	17254
353	9443	17233
354	9492	17246
355	9527	17234
356	9552	17206
357	9570	17162
358	9588	17120
359	9606	17079
360	9626	17040
361	9643	16995
362	9656	16946
363	9675	16905
364	9694	16866
365	9735	16863
366	9781	16870
367	9826	16876
368	9843	16833
369	9862	16792
370	9877	16747
371	9894	16703
372	9912	16661
373	9928	16618
374	9947	16579
375	9974	16553
376	10012	16546
377	10049	16535
378	10077	16512
379	10095	16470
380	10111	16427
381	10129	16386
382	10166	16377
383	10210	16379
384	10257	16385
385	10315	16408
386	10333	16368
387	10348	16323
388	10368	16285
389	10384	16242
390	10417	16225
391	10431	16179
392	10448	16137
393	10476	16112
394	10495	16074
395	10529	16059
396	10547	16019
397	10591	16020
398	10611	15983
399	10624	15936
400	10665	15931
401	10683	15891
402	10722	15884
403	10747	15855
404	10783	15842
405	10811	15817
406	10827	15775
407	10846	15737
408	10864	15698
409	10916	15708
410	10965	15714
411	10981	15672
412	11021	15665
413	11042	15629
414	11068	15603
415	11083	15559
416	11141	15576
417	11169	15551
418	11188	15515
419	11229	15507
420	11260	15486
421	11284	15456
422	11322	15445
423	11361	15434
424	11382	15400
425	11402	15363
426	11418	15322
427	11432	15278
428	11451	15241
429	11499	15243
430	11529	15221
431	11587	15235
432	11603	15195
433	11619	15153
434	11631	15108
435	11660	15083
436	11702	15076
437	11715	15032
438	11734	14995
439	11752	14957
440	11797	14953
441	11812	14911
442	11840	14886
443	11892	14892
444	11908	14851
445	11924	14812
446	11938	14769
447	11955	14731
448	11976	14697
449	12014	14684
450	12031	14646
451	12051	14611
452	12101	14612
453	12122	14579
454	12139	14540
455	12182	14533
456	12200	14496
457	12215	14455
458	12229	14414
459	12246	14376
460	12259	14334
461	12278	14298
462	12293	14258
463	12310	14220
464	12362	14223
465	12377	14184
466	12395	14147
467	12436	14137
468	12470	14119
469	12489	14084
470	12504	14044
471	12517	14003
472	12533	13964
473	12586	13967
474	12601	13928
475	12618	13891
476	12663	13884
477	12719	13890
478	12761	13880
479	12779	13844
480	12803	13814
481	12847	13806
482	12864	13770
483	12885	13737
484	12902	13700
485	12919	13663
486	12940	13631
487	12958	13595
488	12975	13559
489	12991	13522
490	13008	13485
491	13029	13452
492	13067	13438
493	13113	13431
494	13165	13431
495	13211	13425
496	13227	13387
497	13240	13346
498	13262	13315
499	13279	13279
500	13294	13240
501	13348	13242
502	13393	13234
503	13416	13203
504	13433	13167
505	13449	13130
506	13466	13095
507	13513	13088
508	13531	13052
509	13552	13020
510	13569	12984
511	13591	12954
512	13603	12914
513	13644	12901
514	13663	12867
515	13677	12829
516	13692	12792
517	13708	12755
518	13727	12722
519	13773	12713
520	13806	12693
521	13826	12660
522	13843	12626
523	13857	12588
524	13873	12551
525	13890	12517
526	13908	12483
527	13927	12450
528	13944	12415
529	13999	12414
530	14017	12381
531	14034	12346
532	14084	12340
533	14122	12324
534	14136	12287
535	14153	12252
536	14173	12220
537	14191	12186
538	14258	12194
539	14287	12170
540	14313	12144
541	14347	12123
542	14375	12098
543	14409	12078
544	14460	12072
545	14507	12062
546	14548	12048
547	14564	12012
548	14585	11981
549	14609	11953
