일자,시가,고가,저가,종가,전일비,,등락률,거래량,금액(백만),신용비,개인,기관,외인(수량),외국계,프로그램,외인비
2024/02/05,"74,200","74,800","73,700","73,800",▼,"-1,400","-1.86","5,755,855","426,852","0","0","0","0","865,655","-1,215,926","54.55"
2024/02/02,"74,000","75,200","73,700","75,200",▲,"1,600","+2.17","14,955,881","1,116,696","0.10","-3,837,104","1,992,933","2,531,797","1,156,110","2,268,879","54.55"
2024/02/01,"73,000","74,200","72,900","73,600",▲,"900","+1.24","19,881,033","1,460,989","0.09","-710,966","-4,377,851","5,212,585","4,356,581","4,011,158","54.51"
2024/01/31,"73,400","74,000","72,500","72,700",▼,"-1,600","-2.15","15,703,560","1,148,592","0.09","2,565,534","-1,277,156","-86,435","-862,763","-262,809","54.42"
2024/01/30,"75,000","75,300","73,700","74,300",▼,"-100","-0.13","12,244,418","910,103","0.10","608,262","14,472","-488,223","-626,659","-20,512","54.43"
2024/01/29,"73,800","75,200","73,500","74,400",▲,"1,000","+1.36","13,976,521","1,040,949","0.09","-2,480,369","-417,687","2,879,889","1,597,761","1,089,523","54.43"
2024/01/26,"73,700","74,500","73,300","73,400",▼,"-700","-0.94","11,160,062","824,499","0.10","-16,743","-789,926","1,937,427","-207,106","571,769","54.39"
2024/01/25,"74,200","74,800","73,700","74,100",▲,"100","+0.14","11,737,747","870,262","0.09","-731,455","-89,590","929,075","777,929","-792,833","54.35"
2024/01/24,"75,200","75,200","73,500","74,000",▼,"-1,200","-1.60","12,860,661","950,730","0.09","1,075,707","-926,539","-201,286","344,152","127,397","54.34"
2024/01/23,"75,700","75,800","74,300","75,200",▲,"100","+0.13","14,786,224","1,109,207","0.10","-1,096,258","-133,492","1,755,814","1,671,030","76,767","54.34"
2024/01/22,"75,900","76,000","75,000","75,100",▲,"400","+0.54","19,673,375","1,484,936","0.11","-1,726,794","-163,819","1,632,702","3,726,817","-1,756,207","54.31"
2024/01/19,"73,500","74,700","73,000","74,700",▲,"3,000","+4.18","23,363,427","1,729,033","0.10","-5,763,864","-509,888","6,344,971","6,874,669","2,710,079","54.28"
2024/01/18,"71,600","72,000","70,700","71,700",▲,"700","+0.99","17,853,397","1,274,268","0.10","742,975","59,931","-389,617","-1,062,882","-2,150,425","54.18"
